ID,Gender,Age,Customer Type,Type of Travel,Class,Flight Distance,Departure Delay,Arrival Delay,Departure and Arrival Time Convenience,Ease of Online Booking,Check-in Service,Online Boarding,Gate Location,On-board Service,Seat Comfort,Leg Room Service,Cleanliness,Food and Drink,In-flight Service,In-flight Wifi Service,In-flight Entertainment,Baggage Handling,Satisfaction
40128,Male,65,Returning,Personal,Economy,200,0,0,4,2,1,2,1,5,4,4,4,4,4,2,4,1,Neutral or Dissatisfied
40129,Male,49,Returning,Personal,Economy,422,0,0,4,3,5,3,3,5,3,1,3,3,4,3,3,3,Neutral or Dissatisfied
40130,Male,29,Returning,Personal,Economy,422,0,3,1,2,2,2,3,3,5,2,3,3,4,2,3,2,Neutral or Dissatisfied
40131,Female,9,Returning,Personal,Economy,200,0,0,3,3,4,3,3,3,1,5,1,1,4,3,1,4,Neutral or Dissatisfied
40132,Male,61,Returning,Business,Economy Plus,368,13,4,3,1,2,5,3,2,5,2,5,5,3,5,5,2,Satisfied
40133,Male,25,First-time,Business,Economy Plus,200,0,0,0,3,3,3,1,4,1,3,4,4,4,3,4,5,Neutral or Dissatisfied
40134,Male,50,Returning,Business,Economy Plus,200,0,0,5,5,1,5,5,5,5,2,5,5,2,5,5,3,Satisfied
40135,Female,46,Returning,Personal,Economy Plus,422,0,0,3,4,2,2,3,3,4,4,4,5,3,4,3,3,Neutral or Dissatisfied
40136,Female,14,Returning,Personal,Economy Plus,368,0,0,3,3,4,3,4,3,5,1,5,5,1,3,5,4,Neutral or Dissatisfied
40137,Female,37,Returning,Personal,Economy Plus,200,26,23,4,3,3,3,3,1,3,5,3,3,4,3,3,4,Neutral or Dissatisfied
40138,Female,44,Returning,Personal,Economy Plus,200,0,0,3,1,2,3,3,3,4,1,4,2,3,1,3,3,Neutral or Dissatisfied
40139,Female,47,Returning,Personal,Economy Plus,200,0,6,4,2,1,2,1,1,3,2,5,5,1,2,1,1,Neutral or Dissatisfied
40140,Female,9,Returning,Personal,Economy Plus,200,0,0,3,3,1,3,3,4,4,3,5,5,4,3,5,3,Neutral or Dissatisfied
40141,Male,48,Returning,Personal,Economy Plus,368,0,0,1,2,4,2,2,3,1,5,2,2,3,2,2,3,Neutral or Dissatisfied
40142,Male,25,First-time,Business,Business,840,0,0,0,4,5,4,2,4,5,3,5,5,5,5,5,4,Satisfied
40143,Male,50,Returning,Business,Business,1618,0,0,2,2,4,4,2,5,3,5,5,2,5,2,5,5,Satisfied
40144,Male,32,Returning,Business,Business,2432,0,0,4,4,4,3,4,3,3,2,3,3,1,4,3,1,Satisfied
40145,Female,38,Returning,Business,Business,1937,0,0,2,2,3,5,2,5,3,5,1,5,5,2,5,5,Satisfied
40146,Female,61,Returning,Personal,Economy,840,93,97,5,2,3,5,3,1,4,2,4,3,1,2,1,1,Neutral or Dissatisfied
40147,Female,69,Returning,Personal,Economy,840,0,0,3,3,3,3,3,3,3,3,1,5,3,3,3,3,Neutral or Dissatisfied
40148,Female,24,First-time,Business,Economy,387,0,0,2,5,3,5,4,4,1,3,1,1,4,5,1,5,Satisfied
40149,Male,57,Returning,Business,Business,402,0,0,5,5,5,4,5,4,4,4,5,2,4,5,4,4,Satisfied
40150,Male,55,Returning,Business,Business,358,0,0,4,4,3,5,4,4,4,4,3,3,4,4,4,4,Satisfied
40151,Male,23,Returning,Business,Business,3473,0,0,3,3,5,5,3,3,5,4,5,5,5,3,5,5,Satisfied
40152,Male,55,Returning,Business,Business,2554,0,0,3,2,5,5,2,4,5,4,4,2,4,2,4,4,Satisfied
40153,Male,49,Returning,Business,Business,463,0,0,4,4,4,5,4,2,4,2,4,5,2,4,2,2,Satisfied
40154,Female,25,First-time,Business,Business,387,0,0,5,3,5,3,2,4,1,3,5,5,5,3,5,5,Neutral or Dissatisfied
40155,Female,38,Returning,Business,Business,358,0,0,2,4,5,5,2,4,5,5,5,5,4,2,4,4,Satisfied
40156,Male,23,Returning,Personal,Business,436,0,0,5,1,5,1,4,3,1,3,1,1,5,1,1,4,Neutral or Dissatisfied
40157,Female,41,Returning,Personal,Business,463,0,0,5,1,4,4,3,2,5,1,4,3,2,1,2,2,Neutral or Dissatisfied
40158,Male,66,Returning,Personal,Business,531,0,0,4,4,4,4,5,4,4,4,4,2,4,4,4,4,Satisfied
40159,Female,51,Returning,Personal,Business,387,0,0,5,3,5,5,4,4,4,3,3,5,4,3,4,4,Neutral or Dissatisfied
40160,Male,19,Returning,Personal,Business,436,0,0,5,5,4,5,3,5,5,4,5,5,4,1,5,5,Neutral or Dissatisfied
40161,Female,41,Returning,Personal,Business,402,0,0,3,1,2,4,3,3,2,1,2,3,3,1,3,3,Neutral or Dissatisfied
40162,Male,51,Returning,Personal,Business,387,0,0,5,1,2,4,1,3,1,1,4,4,3,1,3,3,Neutral or Dissatisfied
40163,Female,35,Returning,Business,Business,3719,0,0,1,1,4,4,1,2,2,2,2,1,2,1,2,2,Satisfied
40164,Female,43,Returning,Business,Business,1729,0,0,0,0,5,2,2,1,2,1,1,1,1,0,1,1,Satisfied
40165,Male,24,First-time,Business,Economy,463,0,9,5,5,5,5,2,5,2,5,2,2,4,5,2,5,Satisfied
40166,Male,46,First-time,Business,Economy,387,0,0,4,2,2,2,5,2,2,3,2,2,1,2,2,2,Neutral or Dissatisfied
40167,Male,37,First-time,Business,Business,347,0,0,2,2,2,2,3,4,5,2,5,5,5,2,5,4,Neutral or Dissatisfied
40168,Male,46,Returning,Business,Business,402,0,0,4,4,4,3,4,5,5,5,4,1,5,4,5,5,Satisfied
40169,Male,46,Returning,Business,Economy,531,0,0,2,2,5,4,2,4,3,2,3,3,1,4,3,4,Satisfied
40170,Male,31,Returning,Business,Business,1533,0,0,4,4,2,5,4,5,5,5,5,5,3,4,5,1,Satisfied
40171,Female,67,Returning,Business,Economy,463,0,0,1,5,4,5,5,4,3,4,1,1,4,4,4,4,Satisfied
40172,Female,29,First-time,Business,Economy,387,0,0,5,3,2,3,3,2,3,2,3,3,4,3,3,2,Neutral or Dissatisfied
40173,Female,52,Returning,Business,Business,3042,0,0,4,2,4,5,2,4,5,4,2,1,4,2,4,4,Satisfied
40174,Male,43,Returning,Business,Business,2934,0,13,4,4,4,2,4,4,5,4,5,5,4,4,4,4,Satisfied
40175,Female,41,Returning,Business,Economy,347,0,0,3,3,4,5,3,2,5,1,5,5,2,5,5,4,Satisfied
40176,Female,41,Returning,Business,Business,347,0,0,3,3,1,1,3,5,3,5,1,5,5,3,5,5,Satisfied
40177,Female,30,Returning,Business,Business,2154,0,0,3,3,2,5,3,1,5,1,5,5,4,3,5,4,Satisfied
40178,Female,48,Returning,Business,Business,1724,0,0,4,4,4,3,4,4,1,4,4,4,4,4,4,4,Satisfied
40179,Male,45,First-time,Business,Economy,436,0,0,3,1,3,1,3,5,5,4,3,3,3,1,3,3,Neutral or Dissatisfied
40180,Female,43,First-time,Business,Economy,531,0,4,0,4,4,4,1,2,4,2,4,4,5,4,4,2,Neutral or Dissatisfied
40181,Male,69,Returning,Business,Business,387,0,0,3,3,4,4,3,2,3,2,1,5,2,2,2,2,Neutral or Dissatisfied
40182,Male,35,Returning,Business,Business,387,0,0,3,3,5,2,3,5,1,5,2,2,5,3,5,5,Satisfied
40183,Male,36,Returning,Business,Business,3147,0,0,5,5,4,5,5,5,3,5,1,4,5,5,5,5,Satisfied
40184,Female,37,First-time,Business,Economy,358,0,0,0,1,1,1,2,1,4,1,4,4,2,2,4,3,Neutral or Dissatisfied
40185,Male,43,Returning,Business,Economy,402,5,15,5,5,1,4,5,5,4,4,4,4,3,4,4,2,Satisfied
40186,Male,44,Returning,Business,Business,2621,2,60,4,4,4,1,4,5,3,5,2,2,5,4,5,5,Satisfied
40187,Male,37,Returning,Business,Business,531,0,0,5,5,5,5,5,5,5,5,3,2,5,5,5,5,Satisfied
40188,Female,37,Returning,Business,Economy,347,0,0,3,3,5,5,3,3,5,1,5,5,5,5,5,5,Satisfied
40189,Male,59,Returning,Business,Business,2040,0,7,1,1,1,3,1,2,5,2,3,4,2,1,2,2,Satisfied
40190,Female,63,Returning,Business,Economy,358,0,8,4,4,1,2,4,4,1,4,3,3,4,4,4,4,Satisfied
40191,Male,24,Returning,Business,Business,2795,0,0,5,5,1,3,5,3,3,1,3,3,3,3,3,3,Neutral or Dissatisfied
40192,Male,29,Returning,Business,Business,2387,0,0,3,4,2,3,3,4,3,1,3,3,5,3,3,2,Satisfied
40193,Male,41,Returning,Business,Business,1786,0,0,1,4,2,2,4,4,2,4,4,5,4,4,4,4,Satisfied
40194,Male,24,First-time,Business,Economy,387,0,0,0,4,1,4,3,5,2,2,5,5,5,4,5,5,Neutral or Dissatisfied
40195,Female,43,First-time,Business,Economy,358,0,45,5,1,4,1,1,1,5,4,5,5,5,2,5,2,Neutral or Dissatisfied
40196,Male,57,Returning,Business,Economy,347,0,0,2,2,1,5,2,2,5,5,5,5,3,5,5,3,Satisfied
40197,Male,57,Returning,Business,Economy,387,0,0,1,1,2,4,1,4,4,2,4,4,3,4,4,3,Satisfied
40198,Female,39,Returning,Business,Business,358,0,0,2,2,2,3,2,5,2,5,5,2,5,2,5,5,Satisfied
40199,Female,28,Returning,Business,Business,347,0,0,1,1,2,4,1,1,4,3,4,4,4,1,4,2,Satisfied
40200,Female,23,First-time,Business,Economy,531,0,2,5,1,4,1,1,3,2,1,2,2,3,1,2,5,Neutral or Dissatisfied
40201,Female,40,Returning,Business,Business,2134,0,0,2,2,5,4,2,4,4,4,2,1,4,2,4,4,Satisfied
40202,Female,40,Returning,Business,Business,2806,0,0,1,1,4,1,1,5,1,5,4,2,5,1,5,5,Satisfied
40203,Male,72,First-time,Business,Economy,387,5,0,0,2,4,2,1,2,4,5,4,4,4,2,4,3,Neutral or Dissatisfied
40204,Female,33,First-time,Business,Economy,436,19,29,1,3,4,3,2,2,3,1,5,5,2,3,5,2,Neutral or Dissatisfied
40205,Female,45,Returning,Business,Business,2078,19,56,4,3,3,1,4,4,2,4,3,4,4,4,4,4,Satisfied
40206,Male,30,Returning,Business,Economy,436,0,0,2,3,3,5,2,2,5,1,5,5,4,5,5,5,Satisfied
40207,Male,38,Returning,Business,Business,347,0,0,3,3,5,1,3,5,5,5,5,3,5,3,5,5,Satisfied
40208,Female,27,First-time,Business,Economy,402,0,5,0,1,2,1,5,2,4,5,4,4,1,1,4,1,Neutral or Dissatisfied
40209,Female,51,Returning,Business,Business,3483,0,0,4,4,5,5,4,3,1,4,4,4,3,4,3,3,Satisfied
40210,Female,59,Returning,Business,Business,3328,0,1,4,4,3,1,4,5,5,5,3,2,5,4,5,5,Satisfied
40211,Male,33,Returning,Business,Business,3133,0,12,2,5,2,4,2,2,4,2,4,4,2,2,4,1,Satisfied
40212,Female,45,Returning,Business,Economy,387,12,18,2,1,2,5,2,3,2,3,4,5,3,3,3,3,Satisfied
40213,Male,25,Returning,Business,Economy,387,0,15,3,3,1,5,3,2,5,3,5,5,3,5,5,1,Satisfied
40214,Female,23,First-time,Business,Economy,358,0,0,4,4,3,4,4,2,1,4,1,1,1,4,1,3,Satisfied
40215,Male,48,Returning,Business,Business,436,0,0,5,5,1,3,5,5,3,5,5,4,5,5,5,5,Satisfied
40216,Female,21,First-time,Business,Business,358,0,0,2,2,2,2,3,3,3,3,3,3,4,2,3,4,Neutral or Dissatisfied
40217,Male,31,Returning,Business,Business,3916,0,2,3,4,4,4,3,2,3,1,3,3,2,3,3,1,Satisfied
40218,Male,47,Returning,Business,Economy,402,0,0,2,2,5,4,2,3,4,2,4,4,4,4,4,5,Satisfied
40219,Male,37,Returning,Business,Economy,387,0,11,2,2,3,5,2,3,5,5,5,5,5,5,5,3,Satisfied
40220,Male,26,First-time,Business,Economy,387,0,0,3,2,1,2,5,1,4,3,4,4,3,2,4,3,Neutral or Dissatisfied
40221,Male,60,Returning,Business,Economy,387,0,0,5,5,4,2,5,4,2,5,2,2,4,2,2,3,Neutral or Dissatisfied
40222,Female,53,Returning,Business,Economy,436,0,8,1,1,3,4,1,1,3,1,1,1,1,1,1,1,Neutral or Dissatisfied
40223,Male,36,Returning,Business,Economy,436,0,0,2,2,3,2,2,3,2,3,2,2,3,2,2,3,Neutral or Dissatisfied
40224,Male,51,Returning,Business,Business,3702,0,0,5,5,3,4,5,2,3,2,2,3,2,2,2,2,Neutral or Dissatisfied
40225,Female,70,Returning,Business,Business,2816,0,0,1,2,5,2,1,4,2,4,2,2,4,1,4,4,Satisfied
40226,Female,24,First-time,Business,Economy,347,0,3,3,1,2,1,3,2,2,3,3,3,4,1,3,5,Neutral or Dissatisfied
40227,Male,49,Returning,Business,Business,387,0,0,2,2,1,3,2,1,3,1,2,1,1,1,1,1,Neutral or Dissatisfied
40228,Female,73,Returning,Business,Economy,463,0,0,5,5,1,3,5,3,2,3,4,3,3,3,3,3,Neutral or Dissatisfied
40229,Male,36,First-time,Business,Economy,402,0,0,0,4,4,4,2,4,1,5,1,1,5,4,1,2,Neutral or Dissatisfied
40230,Male,76,Returning,Business,Economy,347,0,0,2,4,3,4,2,1,4,1,4,4,2,4,4,3,Satisfied
40231,Female,23,First-time,Business,Economy,358,0,0,0,3,4,3,3,1,1,1,4,4,3,2,4,5,Neutral or Dissatisfied
40232,Male,39,First-time,Business,Economy,387,0,0,0,2,2,2,4,1,3,4,3,3,4,2,3,3,Neutral or Dissatisfied
40233,Male,52,Returning,Business,Economy,358,0,0,3,3,5,5,3,5,5,4,5,5,2,5,5,1,Satisfied
40234,Female,32,Returning,Business,Business,3067,0,0,1,3,1,2,1,1,2,5,2,2,4,2,2,3,Neutral or Dissatisfied
40235,Male,48,Returning,Business,Economy,347,0,0,3,3,4,4,3,2,4,3,4,4,1,4,4,3,Satisfied
40236,Male,63,Returning,Business,Economy,463,0,0,2,2,1,5,2,1,5,3,5,5,1,5,5,5,Satisfied
40237,Male,36,First-time,Business,Economy,387,0,0,2,2,1,2,3,1,3,5,3,3,4,2,3,3,Neutral or Dissatisfied
40238,Male,33,Returning,Business,Business,358,0,1,2,2,3,3,2,1,3,5,3,3,5,2,3,5,Satisfied
40239,Male,35,Returning,Business,Economy,463,0,0,4,4,2,4,4,3,4,1,4,4,5,4,4,4,Satisfied
40240,Female,22,First-time,Business,Economy,358,3,0,5,1,3,1,5,3,5,4,1,1,1,0,1,2,Satisfied
40241,Male,39,Returning,Business,Economy,402,0,21,5,5,1,1,5,4,1,3,1,1,4,1,1,3,Neutral or Dissatisfied
40242,Male,69,Returning,Business,Economy,463,0,11,4,4,4,2,4,2,2,2,2,2,3,2,2,3,Neutral or Dissatisfied
40243,Female,34,Returning,Business,Business,2698,0,0,4,4,1,2,4,5,5,5,1,5,5,4,5,5,Satisfied
40244,Female,45,Returning,Business,Economy,387,0,0,1,1,4,5,1,4,3,4,5,3,4,4,4,4,Satisfied
40245,Female,20,First-time,Business,Economy,531,0,0,0,2,2,2,2,3,1,1,2,2,4,2,2,3,Neutral or Dissatisfied
40246,Female,43,Returning,Business,Business,387,0,0,4,4,5,1,4,4,2,4,2,2,4,4,4,4,Satisfied
40247,Male,41,Returning,Business,Business,531,0,0,5,5,2,3,5,1,4,1,4,4,1,1,1,1,Neutral or Dissatisfied
40248,Female,23,First-time,Business,Economy,347,0,9,3,2,1,2,3,2,2,4,2,2,4,2,2,3,Neutral or Dissatisfied
40249,Male,37,Returning,Business,Business,463,1,0,5,4,5,2,5,4,3,4,2,4,4,5,4,4,Satisfied
40250,Male,37,Returning,Business,Economy,387,0,0,1,1,2,2,1,1,2,4,2,2,3,2,2,2,Neutral or Dissatisfied
40251,Male,38,Returning,Business,Business,347,0,4,2,2,2,4,2,2,3,2,4,5,2,2,2,2,Neutral or Dissatisfied
40252,Female,24,Returning,Business,Business,347,0,0,1,1,3,3,1,4,3,2,3,3,3,3,3,4,Neutral or Dissatisfied
40253,Female,33,Returning,Business,Business,2021,0,1,4,4,2,5,4,2,2,2,1,1,2,4,2,2,Satisfied
40254,Female,38,Returning,Business,Business,3338,0,0,3,3,1,4,3,1,3,1,1,4,1,2,1,2,Neutral or Dissatisfied
40255,Male,38,Returning,Business,Business,3733,0,1,1,1,3,2,1,4,2,4,4,2,4,1,4,4,Satisfied
40256,Male,29,First-time,Business,Business,347,0,0,4,4,2,4,3,1,4,3,4,4,2,4,4,2,Neutral or Dissatisfied
40257,Female,30,Returning,Business,Business,2946,0,0,3,3,5,4,3,1,4,4,4,4,2,3,4,2,Satisfied
40258,Female,25,First-time,Business,Economy,531,0,0,4,1,1,1,2,4,2,5,2,2,3,2,2,4,Neutral or Dissatisfied
40259,Female,43,Returning,Business,Economy,463,0,0,4,4,2,1,4,4,4,4,4,5,4,4,4,4,Satisfied
40260,Female,17,First-time,Business,Economy,402,49,40,4,4,4,4,3,4,2,2,1,1,4,4,1,4,Neutral or Dissatisfied
40261,Male,57,Returning,Business,Business,2099,0,0,4,1,3,3,4,1,1,1,5,5,1,0,1,1,Satisfied
40262,Female,15,First-time,Business,Economy,358,48,,5,3,3,3,3,2,2,2,2,2,1,3,2,1,Neutral or Dissatisfied
40263,Male,56,Returning,Business,Business,2728,0,0,1,1,1,3,1,1,3,1,4,1,1,1,1,1,Neutral or Dissatisfied
40264,Female,36,First-time,Business,Economy,347,0,0,4,4,4,4,4,4,3,4,3,3,4,4,3,3,Neutral or Dissatisfied
40265,Female,37,Returning,Business,Economy,402,0,0,4,4,3,5,4,1,5,4,5,5,2,5,5,1,Satisfied
40266,Male,26,Returning,Personal,Economy,358,0,10,5,3,5,3,2,3,3,5,3,3,4,3,3,5,Neutral or Dissatisfied
40267,Male,67,Returning,Personal,Economy,387,0,0,5,0,4,0,1,5,3,5,3,3,4,0,3,4,Satisfied
40268,Female,24,Returning,Personal,Economy,402,0,0,4,1,4,1,3,5,1,5,1,1,4,1,1,4,Neutral or Dissatisfied
40269,Male,50,Returning,Personal,Economy,387,0,12,1,3,2,3,2,2,3,2,3,3,1,3,3,2,Neutral or Dissatisfied
40270,Female,18,Returning,Personal,Economy,402,1,0,1,3,1,3,3,4,5,3,5,5,3,3,5,4,Neutral or Dissatisfied
40271,Female,52,Returning,Personal,Economy,387,0,0,4,3,5,5,3,5,5,3,4,5,5,3,5,5,Neutral or Dissatisfied
40272,Female,10,Returning,Personal,Economy,436,0,0,5,0,4,0,2,3,2,5,2,2,5,0,2,4,Satisfied
40273,Female,14,Returning,Personal,Economy,387,0,12,5,4,4,4,5,4,4,4,4,4,5,4,4,4,Neutral or Dissatisfied
40274,Female,12,Returning,Personal,Economy,347,34,17,1,2,2,2,3,3,3,3,3,3,3,2,3,4,Neutral or Dissatisfied
40275,Female,10,Returning,Personal,Economy,436,0,0,5,3,5,3,4,3,2,2,2,2,4,3,2,5,Neutral or Dissatisfied
40276,Male,51,Returning,Personal,Economy,358,0,0,5,1,4,1,2,3,2,2,2,2,5,1,2,4,Neutral or Dissatisfied
40277,Male,60,Returning,Personal,Economy,387,0,0,4,2,3,2,3,3,4,4,4,4,5,2,4,4,Neutral or Dissatisfied
40278,Female,33,Returning,Personal,Economy,347,0,0,1,0,2,0,3,4,3,2,3,3,2,2,3,2,Neutral or Dissatisfied
40279,Female,29,Returning,Personal,Economy,358,0,0,4,4,4,4,4,5,5,2,5,5,5,4,5,5,Neutral or Dissatisfied
40280,Female,34,Returning,Personal,Economy,436,13,26,5,2,3,2,4,4,2,2,2,2,4,2,2,5,Neutral or Dissatisfied
40281,Female,8,Returning,Personal,Economy,347,9,0,4,1,3,1,2,4,2,4,2,2,4,1,2,5,Neutral or Dissatisfied
40282,Female,19,Returning,Personal,Economy,402,0,0,5,2,3,2,1,4,1,2,2,2,5,2,2,5,Neutral or Dissatisfied
40283,Female,11,Returning,Personal,Economy,358,0,19,4,5,5,5,2,5,4,3,4,4,4,1,4,4,Neutral or Dissatisfied
40284,Female,62,Returning,Personal,Economy,347,1,8,3,3,1,4,4,5,4,3,3,3,5,3,5,5,Neutral or Dissatisfied
40285,Male,54,Returning,Personal,Economy,436,0,0,4,2,5,2,2,5,2,3,2,2,4,2,2,4,Neutral or Dissatisfied
40286,Female,63,Returning,Personal,Economy,463,0,0,5,4,4,5,4,1,4,4,5,1,1,4,1,1,Neutral or Dissatisfied
40287,Female,47,Returning,Personal,Economy,463,0,0,5,1,3,5,3,1,4,1,5,3,1,1,1,1,Neutral or Dissatisfied
40288,Female,30,Returning,Personal,Economy,402,0,0,5,1,4,1,3,3,4,4,4,4,4,1,4,4,Neutral or Dissatisfied
40289,Male,40,Returning,Personal,Economy,531,0,0,5,3,3,3,5,5,2,4,2,2,5,3,2,5,Neutral or Dissatisfied
40290,Female,26,Returning,Personal,Economy,402,0,0,5,2,4,2,4,3,5,5,5,5,5,2,5,5,Neutral or Dissatisfied
40291,Female,30,Returning,Personal,Economy,347,65,49,5,2,3,2,3,3,2,2,2,2,1,2,2,5,Neutral or Dissatisfied
40292,Female,21,Returning,Personal,Economy,531,0,0,4,1,3,1,3,4,4,4,3,3,3,1,3,4,Neutral or Dissatisfied
40293,Male,67,Returning,Personal,Economy,347,0,0,5,3,4,3,3,3,5,4,4,4,4,3,4,5,Neutral or Dissatisfied
40294,Male,47,Returning,Personal,Economy,436,0,0,4,4,3,4,5,4,3,4,3,3,4,4,3,5,Neutral or Dissatisfied
40295,Male,63,Returning,Personal,Economy,358,0,0,4,3,3,3,3,5,5,2,5,5,4,3,5,5,Neutral or Dissatisfied
40296,Female,37,Returning,Personal,Economy,463,0,0,5,5,4,5,2,1,1,4,1,1,3,5,1,2,Satisfied
40297,Female,47,Returning,Personal,Economy,436,0,0,5,3,5,5,1,4,4,3,5,4,4,3,4,3,Neutral or Dissatisfied
40298,Female,65,Returning,Personal,Economy,463,0,7,4,3,3,5,1,1,5,3,4,5,1,3,1,5,Neutral or Dissatisfied
40299,Female,24,Returning,Personal,Economy,463,0,0,5,2,3,2,5,4,5,4,5,5,5,2,5,5,Neutral or Dissatisfied
40300,Male,37,Returning,Personal,Economy,402,0,1,5,4,4,4,3,5,3,4,3,3,4,4,3,5,Neutral or Dissatisfied
40301,Female,11,Returning,Personal,Economy,402,0,4,5,4,5,4,4,4,4,3,2,2,5,4,2,4,Neutral or Dissatisfied
40302,Female,54,Returning,Personal,Economy,387,0,6,3,2,3,2,3,2,4,2,5,1,2,2,2,2,Neutral or Dissatisfied
40303,Male,69,Returning,Personal,Economy,387,13,0,1,3,4,3,4,3,4,2,4,4,4,3,4,3,Neutral or Dissatisfied
40304,Female,45,Returning,Personal,Economy,531,0,0,3,1,1,4,3,2,2,1,4,3,2,1,2,2,Neutral or Dissatisfied
40305,Male,48,Returning,Personal,Economy,436,0,0,2,3,4,3,4,1,4,5,4,4,3,3,4,3,Neutral or Dissatisfied
40306,Male,57,Returning,Personal,Economy,347,0,0,5,1,2,1,1,2,2,2,2,2,4,1,2,1,Neutral or Dissatisfied
40307,Female,41,Returning,Personal,Economy,531,0,0,5,2,4,2,1,3,1,3,1,1,4,2,1,4,Neutral or Dissatisfied
40308,Male,60,Returning,Personal,Economy,387,0,0,5,1,1,1,4,1,2,5,2,2,5,1,2,3,Neutral or Dissatisfied
40309,Male,61,Returning,Personal,Economy,402,0,2,2,5,4,5,1,3,3,3,3,3,2,3,3,2,Neutral or Dissatisfied
40310,Female,25,Returning,Personal,Economy,463,0,0,4,2,3,2,4,3,1,3,1,1,4,2,1,4,Neutral or Dissatisfied
40311,Male,63,Returning,Personal,Economy,347,11,6,5,3,1,3,3,5,2,3,2,2,5,3,2,5,Neutral or Dissatisfied
40312,Female,52,Returning,Personal,Economy,347,0,0,4,3,3,4,3,4,4,3,3,4,4,3,4,4,Neutral or Dissatisfied
40313,Male,21,Returning,Personal,Economy,358,0,0,5,2,5,2,4,3,5,5,5,5,5,2,5,5,Neutral or Dissatisfied
40314,Female,28,Returning,Personal,Economy,358,0,0,5,1,3,1,5,3,2,3,2,2,4,1,2,4,Neutral or Dissatisfied
40315,Female,12,Returning,Personal,Economy,387,0,1,4,2,5,2,4,3,4,3,4,4,5,2,4,5,Neutral or Dissatisfied
40316,Male,31,Returning,Personal,Economy,358,0,,5,3,4,3,3,4,4,2,4,4,5,3,4,5,Neutral or Dissatisfied
40317,Male,28,Returning,Personal,Economy,402,0,2,4,3,3,3,1,5,5,2,5,5,4,3,5,5,Neutral or Dissatisfied
40318,Female,62,Returning,Business,Economy Plus,436,0,0,1,1,1,3,1,5,2,4,4,4,5,4,5,5,Satisfied
40319,Female,48,Returning,Business,Economy Plus,402,0,0,1,1,5,4,1,4,3,5,4,2,4,5,4,4,Satisfied
40320,Female,31,Returning,Business,Economy Plus,402,0,0,3,2,5,4,3,2,4,5,4,4,1,4,4,4,Satisfied
40321,Male,42,Returning,Business,Economy Plus,347,0,0,5,5,4,5,5,1,5,5,5,5,3,5,5,2,Satisfied
40322,Male,36,Returning,Business,Economy Plus,402,3,5,2,2,2,5,2,1,5,4,5,5,4,5,5,3,Satisfied
40323,Female,38,First-time,Business,Economy Plus,347,69,52,2,2,4,2,3,3,5,4,5,5,4,2,5,3,Neutral or Dissatisfied
40324,Female,28,Returning,Business,Economy Plus,531,0,0,4,4,4,2,4,1,2,4,2,2,3,2,2,3,Neutral or Dissatisfied
40325,Male,23,Returning,Business,Economy Plus,531,3,0,2,2,4,4,2,2,1,2,4,4,3,4,4,3,Neutral or Dissatisfied
40326,Female,35,Returning,Business,Economy Plus,463,0,0,1,3,2,3,1,4,3,5,3,3,3,3,3,3,Neutral or Dissatisfied
40327,Female,57,Returning,Business,Economy Plus,347,9,17,1,1,4,3,1,4,3,4,4,2,4,4,4,4,Neutral or Dissatisfied
40328,Female,24,Returning,Business,Economy Plus,358,0,0,3,3,5,4,3,1,5,5,4,4,4,4,4,4,Satisfied
40329,Male,54,Returning,Business,Economy Plus,463,38,24,4,4,1,4,4,1,4,1,4,4,4,4,4,3,Neutral or Dissatisfied
40330,Female,37,First-time,Business,Economy Plus,347,0,0,2,2,3,2,2,2,4,2,4,4,3,2,4,2,Neutral or Dissatisfied
40331,Female,23,Returning,Business,Economy Plus,463,0,0,1,1,1,5,1,1,3,3,5,5,1,5,5,2,Satisfied
40332,Female,80,Returning,Business,Economy Plus,436,0,0,1,1,4,3,1,2,3,2,4,4,2,2,2,2,Neutral or Dissatisfied
40333,Female,69,Returning,Personal,Economy Plus,531,0,8,4,1,3,5,3,2,4,1,3,5,2,1,2,1,Neutral or Dissatisfied
40334,Female,70,Returning,Personal,Economy Plus,347,0,0,5,2,5,4,4,4,5,2,3,3,4,2,4,4,Neutral or Dissatisfied
40335,Male,37,Returning,Personal,Economy Plus,463,0,0,5,4,4,4,3,5,2,2,2,2,5,4,2,4,Neutral or Dissatisfied
40336,Female,44,Returning,Personal,Economy Plus,463,0,0,5,3,4,2,3,4,5,3,4,2,4,3,4,4,Neutral or Dissatisfied
40337,Female,50,Returning,Personal,Economy Plus,463,176,161,4,3,4,2,2,5,4,5,4,3,5,3,4,4,Neutral or Dissatisfied
40338,Male,61,Returning,Personal,Economy Plus,402,0,0,5,5,3,5,5,3,4,3,3,3,4,4,3,4,Satisfied
40339,Male,62,Returning,Personal,Economy Plus,436,0,0,4,2,3,2,5,3,5,2,5,5,4,2,5,5,Neutral or Dissatisfied
40340,Male,62,Returning,Personal,Economy Plus,347,0,0,4,3,5,3,2,5,3,3,3,3,4,3,3,4,Neutral or Dissatisfied
40341,Female,52,Returning,Business,Economy,920,0,3,1,1,1,3,1,4,3,4,4,3,4,4,4,4,Satisfied
40342,Male,29,First-time,Business,Economy,920,23,16,4,4,1,4,3,3,3,1,3,3,3,4,3,3,Satisfied
40343,Male,22,Returning,Business,Economy,1156,0,0,2,2,3,5,2,3,4,5,5,5,1,5,5,2,Satisfied
